Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed Standard,199
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Standard,208
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Auburn - University Area,Standard Room,232
"Auburn, Alabama, United States",02/08/2024,03/08/2024,avid hotels: Auburn - University Area,Standard Room,237
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Opelika Auburn,2 Queen Standard,189
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Opelika Auburn,2 Queen Suite Sofa Bed Living Area,208
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Opelika Auburn,Standard Room,208
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Suite Sofa Bed Living Area,218
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 Kng 1 Bdrm Ste Sofa Bed Walk In Shower,246
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Standard,151
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,2 Queen Standard,161
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Suite Additional Living Sofa Bed,175
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,2 Queen Suite Additional Living Sofa Bed,180
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,Standard Room,180
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard Minifridge,237
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Hotel Indigo: Columbus at Riverfront Place,2 Queen Beds Standard River View,237
"Auburn, Alabama, United States",02/08/2024,03/08/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Premium,322
